Ensembl Id	Gene Name	Description	Entrez	Genbank	UniGene
ENSMUSG00000021040	Slirp	SRA stem-loop interacting RNA binding protein [Source:MGI Symbol;Acc:MGI:1916394]	380773		
ENSMUSG00000027333	Smox	spermine oxidase [Source:MGI Symbol;Acc:MGI:2445356]	228608	BAE38724	Mm.136586
ENSMUSG00000071708	Sms	spermine synthase [Source:MGI Symbol;Acc:MGI:109490]	671878		Mm.462155
ENSMUSG00000084667	SNORD44	Small nucleolar RNA SNORD44  [Source:RFAM;Acc:RF00287]			
ENSMUSG00000080463	SNORD75	Small nucleolar RNA SNORD75  [Source:RFAM;Acc:RF00612]			
ENSMUSG00000040824	Snrpd2	small nuclear ribonucleoprotein D2 [Source:MGI Symbol;Acc:MGI:98345]	545531	AAH51208	Mm.357757
ENSMUSG00000020018	Snrpf	small nuclear ribonucleoprotein polypeptide F [Source:MGI Symbol;Acc:MGI:1917128]	69878	BAB25551	Mm.34095
ENSMUSG00000029304	Spp1	secreted phosphoprotein 1 [Source:MGI Symbol;Acc:MGI:98389]	20750		
ENSMUSG00000020077	Srgn	serglycin [Source:MGI Symbol;Acc:MGI:97756]	19073		Mm.488040
ENSMUSG00000021134	Srsf5	serine/arginine-rich splicing factor 5 [Source:MGI Symbol;Acc:MGI:98287]	20384		Mm.465989
ENSMUSG00000026104	Stat1	signal transducer and activator of transcription 1 [Source:MGI Symbol;Acc:MGI:103063]	20846	BAE34017	Mm.401800
ENSMUSG00000040033	Stat2	signal transducer and activator of transcription 2 [Source:MGI Symbol;Acc:MGI:103039]	20847	BAE29282	Mm.293120
ENSMUSG00000037321	Tap1	transporter 1, ATP-binding cassette, sub-family B (MDR/TAP) [Source:MGI Symbol;Acc:MGI:98483]	21354		Mm.482076
ENSMUSG00000024339	Tap2	transporter 2, ATP-binding cassette, sub-family B (MDR/TAP) [Source:MGI Symbol;Acc:MGI:98484]	21355	AAA39609	
ENSMUSG00000024308	Tapbp	TAP binding protein [Source:MGI Symbol;Acc:MGI:1201689]	21356	CAC70721	Mm.154457
ENSMUSG00000038213	Tapbpl	TAP binding protein-like [Source:MGI Symbol;Acc:MGI:2384853]	213233	AAH17613	Mm.296902
ENSMUSG00000042043	Tbca	tubulin cofactor A [Source:MGI Symbol;Acc:MGI:107549]	21371	AAH55749	Mm.465399
ENSMUSG00000033813	Tcea1	transcription elongation factor A (SII) 1 [Source:MGI Symbol;Acc:MGI:1196624]	21399	AAH83127	Mm.458622
ENSMUSG00000078922	Tgtp1	T cell specific GTPase 1 [Source:MGI Symbol;Acc:MGI:98734]	100039796		Mm.15793
ENSMUSG00000078921	Tgtp2	T cell specific GTPase 2 [Source:MGI Symbol;Acc:MGI:3710083]	100039796	EDL33781	Mm.482363
ENSMUSG00000027800	Tm4sf1	transmembrane 4 superfamily member 1 [Source:MGI Symbol;Acc:MGI:104678]	17112	AAH83073	Mm.427750
ENSMUSG00000019734	Tmc4	transmembrane channel-like gene family 4 [Source:MGI Symbol;Acc:MGI:2669035]	353499		Mm.360398
ENSMUSG00000070394	Tmem256	transmembrane protein 256 [Source:MGI Symbol;Acc:MGI:1916436]	69186	AAI17080	
ENSMUSG00000079523	Tmsb10	thymosin, beta 10 [Source:MGI Symbol;Acc:MGI:109146]	19240	BAE36668	Mm.341466
ENSMUSG00000023915	Tnfrsf21	tumor necrosis factor receptor superfamily, member 21 [Source:MGI Symbol;Acc:MGI:2151075]	94185	AAH16420	Mm.400930
ENSMUSG00000042726	Trafd1	TRAF type zinc finger domain containing 1 [Source:MGI Symbol;Acc:MGI:1923551]	231712		Mm.482853
ENSMUSG00000032554	Trf	transferrin [Source:MGI Symbol;Acc:MGI:98821]	22041		Mm.486634
ENSMUSG00000028367	Txn1	thioredoxin 1 [Source:MGI Symbol;Acc:MGI:98874]	22166	AAH94415	
ENSMUSG00000035186	Ubd	ubiquitin D [Source:MGI Symbol;Acc:MGI:1344410]	24108	AAH36383	Mm.140210
ENSMUSG00000027078	Ube2l6	ubiquitin-conjugating enzyme E2L 6 [Source:MGI Symbol;Acc:MGI:1914500]	56791		Mm.38261
ENSMUSG00000033685	Ucp2	uncoupling protein 2 (mitochondrial, proton carrier) [Source:MGI Symbol;Acc:MGI:109354]	22228		Mm.171378
ENSMUSG00000030107	Usp18	ubiquitin specific peptidase 18 [Source:MGI Symbol;Acc:MGI:1344364]	24110	BAE31893	Mm.326911
ENSMUSG00000076434	Wfdc3	WAP four-disulfide core domain 3 [Source:MGI Symbol;Acc:MGI:1923897]	71856		Mm.482906
ENSMUSG00000040483	Xaf1	XIAP associated factor 1 [Source:MGI Symbol;Acc:MGI:3772572]	327959	BAE24328	Mm.291131
ENSMUSG00000020484	Xbp1	X-box binding protein 1 [Source:MGI Symbol;Acc:MGI:98970]	22433		Mm.469937
ENSMUSG00000027514	Zbp1	Z-DNA binding protein 1 [Source:MGI Symbol;Acc:MGI:1927449]	58203	AAH20033	Mm.116687
ENSMUSG00000039501	Znfx1	zinc finger, NFX1-type containing 1 [Source:MGI Symbol;Acc:MGI:2138982]	98999		Mm.297074
